fips,year,total_subs_adj
56001,2019,254287
56003,2019,2447509
56005,2019,1072964
56007,2019,2202491
56009,2019,677187
56011,2019,1247847
56013,2019,1395881
56015,2019,5086441
56017,2019,86545
56019,2019,388009
56021,2019,6577555
56023,2019,1233510
56025,2019,576164
56027,2019,1022309
56029,2019,2263213
56031,2019,3176804
56033,2019,485646
56035,2019,124278
56037,2019,2885352
56039,2019,35226
56041,2019,882235
56043,2019,905387
56045,2019,350341
56001,2018,333004.9364
56003,2018,1955642.542
56005,2018,1948794.024
56007,2018,576556.0526
56009,2018,431581.8982
56011,2018,1925807.486
56013,2018,914949.229
56015,2018,4100334.568
56017,2018,65965.11951
56019,2018,139899.1245
56021,2018,6510885.455
56023,2018,1105745.502
56025,2018,157216.0466
56027,2018,1217066.519
56029,2018,2189386.589
56031,2018,2746569.829
56033,2018,221391.2477
56035,2018,493890.1619
56037,2018,2156048.715
56039,2018,35306.47571
56041,2018,441302.7062
56043,2018,987083.0463
56045,2018,584768.3177
56001,2017,343552.7421
56003,2017,1948144.227
56005,2017,4835484.096
56007,2017,473742.6689
56009,2017,443086.3967
56011,2017,5574980.965
56013,2017,893142.2505
56015,2017,8049082.011
56017,2017,413797.0592
56019,2017,1122900.854
56021,2017,10196631.04
56023,2017,253695.8821
56025,2017,330771.6894
56027,2017,2511113.353
56029,2017,1846923.13
56031,2017,3281476.628
56033,2017,788203.4725
56035,2017,101829.2136
56037,2017,86623.12523
56039,2017,0
56041,2017,9377.512337
56043,2017,526401.4972
56045,2017,2928989.991
56001,2016,340352.9519
56003,2016,2077833.243
56005,2016,4791469.31
56007,2016,203710.8107
56009,2016,304968.1195
56011,2016,3844675.927
56013,2016,560216.735
56015,2016,5015195.618
56017,2016,112684.4454
56019,2016,667078.4704
56021,2016,6071399.194
56023,2016,124668.2047
56025,2016,251053.2084
56027,2016,1987091.738
56029,2016,1943068.339
56031,2016,2313937.312
56033,2016,575536.9563
56035,2016,104720.3751
56037,2016,17231.29248
56039,2016,0
56041,2016,326.3336998
56043,2016,196173.4845
56045,2016,2860854.039
56001,2015,1374257.459
56003,2015,2155176.962
56005,2015,3914425.199
56007,2015,2953501.281
56009,2015,3057332.782
56011,2015,4194002.524
56013,2015,925037.3979
56015,2015,5817865.868
56017,2015,466080.8738
56019,2015,3439022.819
56021,2015,5916721.226
56023,2015,987268.659
56025,2015,2390480.748
56027,2015,2712571.662
56029,2015,1591930.594
56031,2015,3183065.761
56033,2015,4099454.706
56035,2015,805075.9873
56037,2015,415726.4954
56039,2015,0
56041,2015,1079359
56043,2015,1452046.814
56045,2015,1368163.27
56001,2014,4131329.664
56003,2014,6515122.912
56005,2014,13052057.02
56007,2014,5063356.74
56009,2014,4453133.796
56011,2014,11515215.91
56013,2014,15393614.42
56015,2014,12865007.4
56017,2014,3556769.948
56019,2014,7849654.439
56021,2014,9345126.296
56023,2014,5682549.513
56025,2014,9462846.01
56027,2014,12334384.09
56029,2014,3084227.681
56031,2014,11586891.26
56033,2014,3653731.88
56035,2014,6129212.08
56037,2014,4845331.385
56039,2014,0
56041,2014,1099259.792
56043,2014,4746655.394
56045,2014,9043959.523
56001,2013,479680.4499
56003,2013,1896633.991
56005,2013,3922655.976
56007,2013,439971.2302
56009,2013,1377054.017
56011,2013,1610461.184
56013,2013,971667.571
56015,2013,6670816.455
56017,2013,185341.7914
56019,2013,1585124.459
56021,2013,6129833.078
56023,2013,465030.5245
56025,2013,1729123.402
56027,2013,1869369.011
56029,2013,1744768.408
56031,2013,3751732.536
56033,2013,1146290.464
56035,2013,517405.2404
56037,2013,798038.6123
56039,2013,15682.83751
56041,2013,8912.162195
56043,2013,580848.5088
56045,2013,864093.394
56001,2012,78346.88923
56003,2012,2065240.148
56005,2012,1635905.199
56007,2012,68022.71866
56009,2012,103002.0417
56011,2012,1155792.874
56013,2012,621596.7407
56015,2012,7184448.834
56017,2012,97418.79912
56019,2012,134777.3118
56021,2012,6583890.179
56023,2012,560573.1443
56025,2012,277542.651
56027,2012,1127445.033
56029,2012,1976267.763
56031,2012,3039973.783
56033,2012,462302.7232
56035,2012,58599.03354
56037,2012,302130.3252
56039,2012,15239.61127
56041,2012,30764.25993
56043,2012,587370.1491
56045,2012,665187.6832
56001,2011,47291.12869
56003,2011,2226229.319
56005,2011,1362862.28
56007,2011,149717.0131
56009,2011,278769.6343
56011,2011,1308526.148
56013,2011,943564.5601
56015,2011,8310124.344
56017,2011,74817.50577
56019,2011,190710.66
56021,2011,7201515.61
56023,2011,602310.9292
56025,2011,427226.9134
56027,2011,1057457.589
56029,2011,1898207.649
56031,2011,3635635.206
56033,2011,422255.7176
56035,2011,321484.1255
56037,2011,67787.95217
56039,2011,16337.32431
56041,2011,12735.19803
56043,2011,649474.8961
56045,2011,493209.6429
56001,2010,82303.90092
56003,2010,2169547.792
56005,2010,1718528.721
56007,2010,71458.29466
56009,2010,108204.294
56011,2010,1214167.698
56013,2010,652991.2937
56015,2010,7547308.779
56017,2010,102339.0624
56019,2010,141584.4155
56021,2010,6916418.128
56023,2010,588885.621
56025,2010,291560.304
56027,2010,1184388.113
56029,2010,2076081.741
56031,2010,3193511.618
56033,2010,485651.9244
56035,2010,61558.65406
56037,2010,317389.8108
56039,2010,16009.30769
56041,2010,32318.04894
56043,2010,617036.0435
56045,2010,698783.8535
55001,2019,5571518
55003,2019,612479
55005,2019,13124627
55007,2019,392994
55009,2019,10731811
55011,2019,7493610
55013,2019,2070758
55015,2019,7417066
55017,2019,14653625
55019,2019,12306224
55021,2019,13977538
55023,2019,4645635
55025,2019,29258305
55027,2019,19566379
55029,2019,5162753
55031,2019,41989
55033,2019,14623630
55035,2019,6173779
55037,2019,10151
55039,2019,17350889
55041,2019,83076
55043,2019,27550301
55045,2019,18209128
55047,2019,5263024
55049,2019,15423310
55051,2019,118728
55053,2019,7569127
55055,2019,11541839
55057,2019,7725648
55059,2019,4904767
55061,2019,8014267
55063,2019,3767421
55065,2019,24666112
55067,2019,2306151
55069,2019,1324204
55071,2019,12051455
55073,2019,19175996
55075,2019,4426984
55077,2019,4175175
55078,2019,122
